Unique ID,Unique Lake,sampledate,LSWT (°C)
MEX117163,MEX11181,18/03/2015,24.4
MEX117164,MEX11181,14/03/2016,29.9
MEX117165,MEX11181,22/06/2015,33.1
MEX117166,MEX11181,18/03/2015,30.5
MEX117167,MEX11181,07/05/2013,30.5
MEX117168,MEX11181,17/08/2018,31
MEX117169,MEX11181,17/08/2018,27
MEX117170,MEX11181,22/06/2015,32.6
MEX117171,MEX11181,14/03/2016,29.6
MEX117172,MEX11181,25/08/2017,37
MEX117173,MEX11181,03/12/2012,29.7
MEX117174,MEX11181,18/03/2015,28.6
MEX117175,MEX11181,22/06/2015,30.1
MEX117176,MEX11181,17/08/2018,34
MEX117177,MEX11181,08/08/2013,30.5
MEX117178,MEX11181,18/03/2015,29.8
MEX117179,MEX11181,24/03/2017,32
MEX117180,MEX11181,25/08/2017,32
MEX117181,MEX11181,20/02/2018,28
MEX117182,MEX11181,22/06/2015,30.9
MEX117183,MEX11181,09/08/2013,32
MEX117184,MEX11181,18/03/2015,27.7
MEX117185,MEX11181,24/03/2017,34.1
MEX117186,MEX11181,28/06/2014,30.6
MEX117187,MEX11181,17/08/2018,34
MEX117188,MEX11181,07/05/2013,30.7
MEX117189,MEX11181,24/03/2017,28.3
MEX117190,MEX11181,03/12/2012,28.5
MEX117191,MEX11181,16/10/2018,31
MEX117192,MEX11181,03/12/2012,30
MEX117193,MEX11181,24/03/2017,31.6
MEX117194,MEX11181,17/08/2018,32
MEX117195,MEX11181,20/02/2018,33
MEX117196,MEX11181,16/10/2018,31
MEX117197,MEX11181,24/03/2017,33.9
MEX117198,MEX11181,16/10/2018,27
MEX117199,MEX11181,16/03/2019,26
MEX117200,MEX11181,16/10/2018,30
MEX117201,MEX11181,16/10/2018,29
MEX117202,MEX11181,16/03/2019,26
MEX117203,MEX11181,20/02/2018,28
MEX117204,MEX11181,20/02/2018,30
MEX117205,MEX11181,24/03/2017,28.9
MEX117206,MEX11181,16/03/2019,26
MEX117207,MEX11181,09/09/2014,28.4
MEX117208,MEX11181,09/09/2014,29
MEX117209,MEX11181,09/09/2014,27.6
MEX117210,MEX11181,16/03/2019,26
MEX117211,MEX11181,24/03/2017,29.2
MEX117212,MEX11181,02/12/2012,24
MEX117213,MEX11181,20/02/2018,30
MEX117214,MEX11181,22/06/2015,34.5
MEX117215,MEX11181,16/03/2019,26
MEX117216,MEX11182,07/12/2018,21
MEX117217,MEX11183,07/12/2018,20
MEX117218,MEX11184,07/12/2018,19.6
MEX117219,MEX11184,04/06/2018,35
MEX117220,MEX11184,04/06/2018,35
MEX117221,MEX11184,07/08/2018,34
MEX117222,MEX11184,17/03/2017,30
MEX117223,MEX11184,17/03/2017,31
MEX117224,MEX11184,17/03/2017,31
MEX117225,MEX11184,07/08/2018,32
MEX117226,MEX11184,13/10/2017,35
MEX117227,MEX11184,27/02/2019,16.5
MEX117228,MEX11184,27/02/2019,20.4
MEX117229,MEX11184,07/08/2018,35
MEX117230,MEX11184,30/03/2016,30
MEX117231,MEX11184,30/03/2016,30
MEX117232,MEX11184,13/10/2017,34
MEX117233,MEX11184,29/09/2015,36
MEX117234,MEX11184,29/09/2015,35
MEX117235,MEX11184,13/10/2017,35
MEX117236,MEX11184,30/03/2016,28
MEX117237,MEX11184,07/10/2016,34
MEX117238,MEX11184,08/08/2013,37.6
MEX117239,MEX11184,27/02/2019,19.5
MEX117240,MEX11184,09/09/2014,35
MEX117241,MEX11184,09/09/2014,35
MEX117242,MEX11184,08/08/2013,37.5
MEX117243,MEX11184,12/03/2014,27
MEX117244,MEX11184,29/09/2015,34
MEX117245,MEX11184,08/08/2013,35.8
MEX117246,MEX11184,11/03/2014,27
MEX117247,MEX11184,09/09/2014,33
MEX117248,MEX11184,11/03/2014,27
MEX117249,MEX11184,20/03/2013,30.9
MEX117250,MEX11184,20/03/2013,31.7
MEX117251,MEX11184,20/03/2013,24.4
MEX117252,MEX11184,27/04/2015,30
MEX117253,MEX11184,27/04/2015,30
MEX117254,MEX11184,27/04/2015,29
MEX117255,MEX11185,23/11/2016,29.7
MEX117256,MEX11185,28/10/2015,26.4
MEX117257,MEX11185,18/06/2018,26.4
MEX117258,MEX11185,04/08/2017,32.7
MEX117259,MEX11185,08/06/2015,33
MEX117260,MEX11185,20/02/2014,31.8
MEX117261,MEX11186,28/10/2015,32.1
MEX117262,MEX11187,28/10/2015,28
MEX117263,MEX11188,23/11/2016,32.1
MEX117264,MEX11188,23/10/2016,32.8
MEX117265,MEX11188,28/10/2015,31.9
MEX117266,MEX11189,23/11/2016,32.4
MEX117267,MEX11189,23/10/2016,32.4
MEX117268,MEX11189,28/10/2015,31.4
MEX117269,MEX11189,20/02/2014,31.1
MEX117270,MEX11189,01/05/2018,34.2
MEX117271,MEX11189,18/06/2018,31.4
MEX117272,MEX11189,16/10/2018,20.7
MEX117273,MEX11189,20/02/2014,29.3
MEX117274,MEX11189,18/06/2018,33.1
MEX117275,MEX11189,20/02/2014,30.2
MEX117276,MEX11189,17/09/2013,25
MEX117277,MEX11189,04/08/2017,34.5
MEX117278,MEX11189,17/09/2013,25.4
MEX117279,MEX11189,16/01/2019,23.2
MEX117280,MEX11189,06/04/2017,31.6
MEX117281,MEX11189,06/08/2014,29
MEX117282,MEX11189,17/09/2013,25.9
MEX117283,MEX11189,17/09/2013,25.7
MEX117284,MEX11189,11/04/2013,31.2
MEX117285,MEX11189,20/02/2014,32.6
MEX117286,MEX11189,06/04/2017,28.9
MEX117287,MEX11189,16/10/2018,21
MEX117288,MEX11189,11/04/2013,31.7
MEX117289,MEX11189,16/01/2019,25.1
MEX117290,MEX11189,17/09/2013,26
MEX117291,MEX11189,11/04/2013,31.9
MEX117292,MEX11189,01/05/2018,32.1
MEX117293,MEX11189,11/04/2013,31.8
MEX117294,MEX11189,01/05/2018,29.8
MEX117295,MEX11189,11/04/2013,29.1
MEX117296,MEX11189,05/08/2014,34
MEX117297,MEX11189,16/01/2019,25.4
MEX117298,MEX11189,06/08/2014,32
MEX117299,MEX11189,16/10/2018,19.7
MEX117300,MEX11189,06/08/2014,29
MEX117301,MEX11189,06/11/2014,32
MEX117302,MEX11189,08/06/2015,33
MEX117303,MEX11189,08/06/2015,30
MEX117304,MEX11189,08/06/2015,33
MEX117305,MEX11189,08/06/2015,32
MEX117306,MEX11190,18/11/2018,26.2
MEX117307,MEX11190,20/05/2018,32.1
MEX117308,MEX11190,02/10/2015,33.9
MEX117309,MEX11190,20/10/2016,34.2
MEX117310,MEX11190,03/07/2018,31.7
MEX117311,MEX11190,20/02/2014,25.2
MEX117312,MEX11190,11/04/2013,28.9
MEX117313,MEX11190,07/09/2016,31.4
MEX117314,MEX11190,27/07/2017,32.5
MEX117315,MEX11190,05/10/2017,25.4
MEX117316,MEX11190,14/07/2015,32
MEX117317,MEX11191,20/12/2018,30
MEX117318,MEX11191,21/02/2019,26
MEX117319,MEX11191,25/09/2016,31
MEX117320,MEX11191,16/06/2015,36
MEX117321,MEX11192,25/09/2016,32
MEX117322,MEX11192,16/06/2015,38
MEX117323,MEX11193,25/09/2016,30
MEX117324,MEX11194,25/09/2016,28
MEX117325,MEX11194,01/06/2018,37
MEX117326,MEX11194,20/12/2018,26
MEX117327,MEX11194,24/03/2017,33
MEX117329,MEX11194,01/06/2018,38
MEX117330,MEX11194,20/12/2018,30
MEX117331,MEX11194,19/08/2013,36.2
MEX117332,MEX11194,24/03/2017,33
MEX117333,MEX11194,01/06/2018,36
MEX117334,MEX11194,01/06/2018,35
MEX117335,MEX11194,21/02/2019,24
MEX117337,MEX11194,24/10/2017,36
MEX117338,MEX11194,12/10/2015,32
MEX117339,MEX11194,07/08/2018,30.8
MEX117340,MEX11194,26/03/2017,34
MEX117341,MEX11194,24/03/2017,33
MEX117343,MEX11194,20/12/2018,28
MEX117344,MEX11194,24/10/2017,36
MEX117345,MEX11194,24/10/2017,36
MEX117346,MEX11194,21/02/2019,24
MEX117347,MEX11194,07/08/2018,32.1
MEX117348,MEX11194,15/10/2013,32.7
MEX117349,MEX11194,27/05/2014,38
MEX117350,MEX11194,12/05/2016,34
MEX117351,MEX11194,21/02/2019,25
MEX117352,MEX11194,24/10/2017,36
MEX117353,MEX11194,12/10/2015,36
MEX117354,MEX11194,12/05/2016,35
MEX117355,MEX11194,15/10/2013,31.2
MEX117356,MEX11194,15/10/2013,31.4
MEX117357,MEX11194,12/10/2015,35
MEX117358,MEX11194,07/08/2018,31.5
MEX117359,MEX11194,27/05/2014,35
MEX117360,MEX11194,16/06/2015,39
MEX117361,MEX11194,12/10/2015,37
MEX117362,MEX11194,15/10/2013,33.4
MEX117363,MEX11194,07/09/2014,33
MEX117364,MEX11194,07/09/2014,33
MEX117365,MEX11194,07/08/2018,33.1
MEX117366,MEX11194,07/09/2014,35
MEX117367,MEX11194,07/09/2014,35
MEX117368,MEX11194,17/07/2013,32.2
MEX117369,MEX11194,17/07/2013,36.7
MEX117370,MEX11194,16/06/2015,38
MEX117371,MEX11194,27/05/2014,36
MEX117372,MEX11194,19/08/2013,35.4
MEX117373,MEX11194,12/05/2016,33
MEX117374,MEX11194,27/05/2014,36
MEX117375,MEX11195,24/01/2019,22.1
MEX117376,MEX11195,24/08/2016,26
MEX117377,MEX11195,24/01/2019,23.1
MEX117378,MEX11195,06/03/2018,26.7
MEX117379,MEX11195,17/03/2017,25
MEX117380,MEX11195,24/08/2016,30
MEX117381,MEX11195,24/01/2019,27.6
MEX117382,MEX11195,06/03/2018,30.8
MEX117383,MEX11195,24/08/2016,28
MEX117384,MEX11195,24/01/2019,24.6
MEX117385,MEX11195,06/03/2018,32.7
MEX117386,MEX11195,17/03/2017,27
MEX117387,MEX11195,24/08/2016,28
MEX117388,MEX11195,24/01/2019,23.8
MEX117389,MEX11195,06/03/2018,27.6
MEX117390,MEX11195,17/03/2017,26
MEX117391,MEX11195,24/01/2019,27.1
MEX117392,MEX11195,24/08/2016,29
MEX117393,MEX11195,06/03/2018,31.6
MEX117394,MEX11195,17/03/2017,30
MEX117395,MEX11195,17/03/2017,30
MEX117396,MEX11195,06/03/2018,32.8
MEX117397,MEX11195,24/08/2016,27
MEX117398,MEX11195,06/03/2018,31.4
MEX117399,MEX11195,17/03/2017,31
MEX117400,MEX11195,24/01/2019,28.3
MEX117401,MEX11195,12/10/2018,25
MEX117402,MEX11195,24/07/2018,31.6
MEX117403,MEX11195,17/03/2017,28
MEX117404,MEX11195,12/10/2018,27.4
MEX117405,MEX11195,17/03/2017,24
MEX117406,MEX11195,24/08/2016,28
MEX117407,MEX11195,12/10/2018,29.3
MEX117408,MEX11195,24/07/2018,31.6
MEX117409,MEX11195,24/01/2019,28.4
MEX117410,MEX11195,12/10/2018,27.7
MEX117411,MEX11195,17/02/2014,26
MEX117412,MEX11195,23/09/2015,32
MEX117413,MEX11195,23/09/2015,29
MEX117414,MEX11195,09/06/2016,27
MEX117415,MEX11195,23/09/2015,33
MEX117416,MEX11195,23/09/2015,28
MEX117417,MEX11195,12/10/2018,25.9
MEX117418,MEX11195,06/03/2018,24.7
MEX117419,MEX11195,23/09/2015,33
MEX117420,MEX11195,24/07/2018,31.8
MEX117421,MEX11195,24/08/2016,25
MEX117422,MEX11195,24/07/2018,33.9
MEX117423,MEX11195,13/06/2019,25.8
MEX117424,MEX11195,17/02/2014,31
MEX117425,MEX11195,17/02/2014,33
MEX117426,MEX11195,17/02/2014,27
MEX117427,MEX11195,24/07/2018,29.7
MEX117428,MEX11195,17/02/2014,33
MEX117429,MEX11195,23/09/2015,35
MEX117430,MEX11195,13/06/2019,31.6
MEX117431,MEX11195,13/06/2019,38
MEX117432,MEX11195,13/06/2019,26.4
MEX117433,MEX11195,13/06/2019,29.6
MEX117434,MEX11195,17/02/2014,30
MEX117435,MEX11195,08/07/2017,30
MEX117436,MEX11195,12/10/2018,28.9
MEX117437,MEX11195,23/09/2015,31
MEX117438,MEX11195,10/06/2016,31
MEX117439,MEX11195,07/07/2017,29
MEX117440,MEX11195,09/06/2016,27
MEX117441,MEX11195,13/06/2019,25
MEX117442,MEX11195,13/06/2019,36.6
MEX117443,MEX11195,17/02/2014,28
MEX117444,MEX11195,23/09/2015,33
MEX117445,MEX11195,24/07/2018,32.9
MEX117446,MEX11195,24/07/2018,32.9
MEX117447,MEX11195,08/07/2017,30
MEX117449,MEX11195,19/12/2012,38.7
MEX117450,MEX11195,17/06/2014,29
MEX117451,MEX11195,12/10/2018,28.6
MEX117452,MEX11195,15/06/2013,34.7
MEX117453,MEX11195,13/06/2019,29.8
MEX117454,MEX11195,13/06/2019,32.4
MEX117455,MEX11195,24/07/2018,32.3
MEX117456,MEX11195,08/07/2017,30
MEX117457,MEX11195,17/06/2014,33
MEX117458,MEX11195,09/06/2016,27
MEX117459,MEX11195,17/06/2014,31
MEX117460,MEX11195,17/02/2014,26
MEX117461,MEX11195,09/06/2016,26
MEX117462,MEX11195,15/06/2013,33.4
MEX117463,MEX11195,07/07/2017,29
MEX117464,MEX11195,13/06/2019,27.1
MEX117465,MEX11195,13/06/2019,29.8
MEX117466,MEX11195,13/06/2019,24.2
MEX117467,MEX11195,13/06/2019,29.7
MEX117468,MEX11195,17/06/2014,32
MEX117469,MEX11195,26/03/2013,35.6
MEX117470,MEX11195,15/06/2013,36.4
MEX117471,MEX11195,08/07/2017,30
MEX117472,MEX11195,09/06/2016,32
MEX117473,MEX11195,17/06/2014,33
MEX117474,MEX11195,08/07/2017,30
MEX117475,MEX11195,26/03/2013,35.6
MEX117476,MEX11195,26/03/2013,37.4
MEX117477,MEX11195,15/06/2013,33.8
MEX117478,MEX11195,17/06/2014,32
MEX117479,MEX11195,17/06/2014,32
MEX117480,MEX11195,17/06/2014,31
MEX117481,MEX11195,26/03/2013,35.5
MEX117482,MEX11195,07/07/2017,34
MEX117483,MEX11195,09/06/2016,28
MEX117484,MEX11195,13/06/2019,28.3
MEX117485,MEX11195,13/06/2019,34.5
MEX117486,MEX11195,12/10/2018,24.8
MEX117487,MEX11195,09/06/2016,30
MEX117488,MEX11195,20/04/2015,21.6
MEX117489,MEX11195,03/06/2015,28
MEX117490,MEX11195,03/06/2015,29.6
MEX117491,MEX11195,03/06/2015,29.3
MEX117492,MEX11195,03/06/2015,30.6
MEX117493,MEX11195,03/06/2015,28.1
MEX117494,MEX11195,03/06/2015,31.3
MEX117495,MEX11195,03/06/2015,31.3
MEX117497,MEX11196,22/02/2019,23
MEX117498,MEX11196,14/03/2017,31
MEX117499,MEX11196,09/09/2016,37
MEX117500,MEX11196,13/04/2015,30
MEX117501,MEX11197,21/12/2018,28
MEX117503,MEX11197,22/02/2019,24
MEX117504,MEX11197,13/04/2015,31
MEX117505,MEX11197,09/09/2016,35
MEX117506,MEX11198,21/12/2018,31
MEX117508,MEX11198,22/02/2019,24
MEX117509,MEX11198,13/04/2015,33
MEX117510,MEX11198,14/03/2017,30
MEX117511,MEX11198,09/09/2016,32
MEX117512,MEX11199,21/12/2018,30
MEX117514,MEX11199,22/02/2019,25
MEX117515,MEX11199,14/03/2017,29
MEX117516,MEX11199,09/09/2016,33
MEX117517,MEX11200,21/12/2018,30
MEX117519,MEX11200,13/04/2015,33
MEX117520,MEX11200,22/02/2019,26
MEX117521,MEX11200,09/09/2016,30
MEX117522,MEX11200,21/12/2018,27
MEX117523,MEX11200,14/03/2017,31
MEX117524,MEX11200,26/10/2019,24
MEX117525,MEX11200,17/08/2018,36
MEX117526,MEX11200,13/07/2018,25
MEX117527,MEX11200,08/07/2014,27.4
MEX117528,MEX11200,17/08/2018,37
MEX117529,MEX11200,17/08/2018,35
MEX117530,MEX11200,07/08/2018,36
MEX117531,MEX11200,08/07/2014,35
MEX117532,MEX11200,08/07/2014,27.1
MEX117533,MEX11200,08/07/2014,27.8
MEX117534,MEX11200,08/07/2014,27.2
MEX117535,MEX11200,17/08/2018,33
MEX117536,MEX11200,05/10/2015,30
MEX117537,MEX11200,05/10/2015,32
MEX117538,MEX11200,17/03/2014,21
MEX117539,MEX11200,17/03/2014,42
MEX117540,MEX11200,05/10/2015,32
MEX117541,MEX11200,17/03/2014,32.5
MEX117542,MEX11200,17/03/2014,34.5
MEX117543,MEX11200,05/10/2015,33
MEX117544,MEX11200,05/10/2015,32
MEX117545,MEX11200,16/05/2013,42.1
MEX117546,MEX11200,16/05/2013,37
MEX117547,MEX11200,17/03/2014,32
MEX117548,MEX11200,16/05/2013,41.3
MEX117549,MEX11200,13/04/2015,31
MEX117550,MEX11200,16/05/2013,40
MEX117551,MEX11200,16/05/2013,37.1
MEX117552,MEX11200,10/09/2013,26.9
MEX117553,MEX11200,10/09/2013,25.4
MEX117555,MEX11200,10/09/2013,25.6
MEX117557,MEX11201,07/05/2013,29.1
MEX117558,MEX11201,15/01/2018,20
MEX117559,MEX11201,22/04/2015,34.3
MEX117560,MEX11201,15/10/2018,30
MEX117561,MEX11201,08/05/2016,29.5
MEX117562,MEX11201,30/09/2017,29
MEX117563,MEX11201,05/06/2017,32
MEX117564,MEX11201,25/08/2018,32
MEX117565,MEX11201,24/08/2015,30.1
MEX117566,MEX11202,07/05/2013,29.3
MEX117567,MEX11202,22/04/2015,33.9
MEX117568,MEX11202,15/10/2018,30
MEX117569,MEX11202,05/06/2017,32
MEX117570,MEX11202,08/05/2016,29.7
MEX117571,MEX11202,25/08/2018,32
MEX117572,MEX11202,15/09/2016,30.1
MEX117573,MEX11202,15/09/2016,29.8
MEX117574,MEX11202,15/04/2014,29
MEX117575,MEX11202,15/01/2018,20
MEX117576,MEX11202,24/08/2015,29.6
MEX117577,MEX11203,16/11/2018,10.2
MEX117578,MEX11203,25/02/2016,26.3
MEX117579,MEX11203,16/01/2019,14.1
MEX117580,MEX11203,30/08/2017,32.1
MEX117581,MEX11203,25/03/2015,22.1
MEX117582,MEX11203,03/08/2016,35.9
MEX117583,MEX11203,28/05/2018,31.4
MEX117584,MEX11203,12/12/2012,17.8
MEX117585,MEX11203,20/02/2014,18.4
MEX117586,MEX11203,15/03/2017,22.8
MEX117587,MEX11203,16/03/2018,24.2
MEX117588,MEX11203,24/06/2015,31
MEX117589,MEX11203,20/08/2014,30.1
MEX117590,MEX11203,08/04/2013,24.8
MEX117591,MEX11204,20/10/2015,34.4
MEX117592,MEX11205,20/10/2015,39.5
MEX117593,MEX11206,19/10/2017,29.8
MEX117594,MEX11206,25/04/2018,31.2
MEX117595,MEX11206,25/04/2018,32.6
MEX117596,MEX11206,27/12/2012,32.6
MEX117597,MEX11206,19/10/2017,31.5
MEX117598,MEX11206,27/12/2012,27.2
MEX117599,MEX11206,15/06/2016,28.9
MEX117600,MEX11206,14/04/2015,25.5
MEX117601,MEX11206,27/08/2013,27.9
MEX117602,MEX11206,01/04/2014,25.9
MEX117603,MEX11206,15/06/2016,27.5
MEX117604,MEX11206,27/12/2012,24.3
MEX117605,MEX11206,20/10/2015,27
MEX117606,MEX11206,01/04/2014,32.3
MEX117607,MEX11206,14/04/2015,25.1
MEX117608,MEX11206,07/10/2014,29.5
MEX117609,MEX11206,16/05/2013,24.2
MEX117610,MEX11206,11/12/2018,27.5
MEX117611,MEX11206,16/05/2013,21.9
MEX117612,MEX11206,01/04/2014,29.3
MEX117613,MEX11206,16/05/2013,26.9
MEX117614,MEX11206,11/12/2018,29.3
MEX117615,MEX11206,07/10/2014,27.7
MEX117616,MEX11206,11/07/2018,29
MEX117617,MEX11206,21/03/2017,20.4
MEX117618,MEX11206,14/04/2015,24.2
MEX117619,MEX11206,11/07/2018,30.2
MEX117620,MEX11206,11/10/2016,32.4
MEX117621,MEX11206,07/10/2014,33.9
MEX117622,MEX11206,21/03/2017,30.6
MEX117623,MEX11206,11/10/2016,30.5
MEX117624,MEX11206,11/10/2016,25.7
MEX117625,MEX11207,06/12/2018,24.2
MEX117626,MEX11207,28/02/2019,19.5
MEX117627,MEX11207,22/03/2017,34
MEX117628,MEX11207,12/09/2016,34
MEX117629,MEX11208,06/12/2018,25.4
MEX117630,MEX11208,28/02/2019,21.7
MEX117631,MEX11208,22/03/2017,35
MEX117632,MEX11208,12/09/2016,32
MEX117633,MEX11208,23/04/2015,31
MEX117634,MEX11209,06/12/2018,26.2
MEX117635,MEX11209,28/02/2019,20.6
MEX117636,MEX11209,18/10/2017,30
MEX117637,MEX11209,12/09/2016,32
MEX117638,MEX11209,12/06/2018,36
MEX117639,MEX11210,06/12/2018,28
MEX117640,MEX11210,28/02/2019,22.5
MEX117641,MEX11210,23/04/2015,30
MEX117642,MEX11210,12/09/2016,33
MEX117643,MEX11210,22/03/2017,33
MEX117644,MEX11210,22/03/2017,34
MEX117645,MEX11210,27/09/2015,36
MEX117646,MEX11210,27/09/2015,36
MEX117647,MEX11210,27/09/2015,34
MEX117648,MEX11210,27/09/2015,35
MEX117649,MEX11210,09/08/2018,33.8
MEX117650,MEX11210,07/10/2013,36
MEX117651,MEX11210,01/04/2016,30
MEX117652,MEX11210,07/10/2013,34
MEX117653,MEX11210,09/08/2018,33.3
MEX117654,MEX11210,07/10/2013,33.1
MEX117655,MEX11210,09/08/2018,33.9
MEX117656,MEX11210,01/04/2016,27
MEX117657,MEX11210,01/04/2016,29
MEX117658,MEX11210,01/04/2016,30
MEX117659,MEX11210,07/10/2013,30
MEX117660,MEX11210,09/08/2018,33.8
MEX117661,MEX11210,13/03/2014,28
MEX117662,MEX11210,14/03/2014,22
MEX117663,MEX11210,08/09/2014,34
MEX117664,MEX11210,08/09/2014,31
MEX117665,MEX11210,08/09/2014,32
MEX117666,MEX11210,13/03/2014,28
MEX117667,MEX11210,15/01/2013,23.1
MEX117668,MEX11210,15/01/2013,23.9
MEX117669,MEX11210,16/05/2013,34.5
MEX117670,MEX11210,13/03/2014,28
MEX117672,MEX11210,16/05/2013,34.4
MEX117673,MEX11210,16/05/2013,32.6
MEX117674,MEX11210,15/01/2013,23.5
MEX117675,MEX11210,15/01/2013,23.6
MEX117676,MEX11210,08/09/2014,35
MEX117677,MEX11210,23/04/2015,31
MEX117678,MEX11210,23/04/2015,31
MEX117679,MEX11211,09/03/2017,28
MEX117680,MEX11211,13/03/2015,17.2
MEX117681,MEX11211,20/02/2019,14.1
MEX117682,MEX11211,18/12/2018,14.5
MEX117683,MEX11211,07/07/2015,28.9
MEX117684,MEX11211,21/09/2017,35
MEX117685,MEX11211,20/02/2019,23.1
MEX117686,MEX11211,20/02/2019,15
MEX117687,MEX11211,09/03/2017,27.1
MEX117688,MEX11211,13/03/2015,17.3
MEX117689,MEX11211,21/09/2017,34.9
MEX117690,MEX11211,20/02/2019,26.2
MEX117691,MEX11211,13/03/2015,17.1
MEX117692,MEX11211,18/12/2018,13.1
MEX117693,MEX11211,20/02/2019,15.7
MEX117694,MEX11211,20/09/2016,31.8
MEX117695,MEX11211,07/07/2015,30.2
MEX117696,MEX11211,21/09/2017,34.6
MEX117697,MEX11211,18/12/2018,12.3
MEX117698,MEX11211,20/02/2019,17.6
MEX117699,MEX11211,07/07/2015,30.9
MEX117700,MEX11211,21/09/2017,34.8
MEX117701,MEX11211,13/03/2015,17.1
MEX117702,MEX11211,09/03/2017,28.2
MEX117703,MEX11211,20/02/2019,18.7
MEX117704,MEX11211,18/12/2018,16.1
MEX117705,MEX11211,21/09/2017,35
MEX117706,MEX11211,13/03/2015,17.3
MEX117707,MEX11211,20/02/2019,16.5
MEX117708,MEX11211,18/12/2018,12.8
MEX117709,MEX11211,07/07/2015,29.5
MEX117710,MEX11211,13/03/2015,17.2
MEX117711,MEX11211,21/09/2017,34.7
MEX117712,MEX11211,20/02/2019,25.2
MEX117713,MEX11211,18/02/2014,28.5
MEX117714,MEX11211,18/02/2014,28.6
MEX117715,MEX11211,03/07/2018,34.7
MEX117716,MEX11211,09/03/2017,27.3
MEX117717,MEX11211,07/07/2015,27.9
MEX117718,MEX11211,13/03/2018,18.1
MEX117719,MEX11211,13/03/2018,16.5
MEX117720,MEX11211,03/07/2018,35.9
MEX117721,MEX11211,18/02/2014,28.6
MEX117722,MEX11211,18/02/2014,28.4
MEX117723,MEX11211,09/03/2017,27.3
MEX117724,MEX11211,18/02/2014,28.7
MEX117725,MEX11211,13/03/2018,17.3
MEX117726,MEX11211,09/03/2017,27.4
MEX117727,MEX11211,18/12/2018,13.3
MEX117728,MEX11211,03/07/2018,29.5
MEX117729,MEX11211,20/09/2016,31.8
MEX117730,MEX11211,03/07/2018,31.2
MEX117731,MEX11211,20/09/2016,30.2
MEX117732,MEX11211,20/09/2016,34.5
MEX117733,MEX11211,13/03/2018,15.4
MEX117734,MEX11211,13/03/2018,16
MEX117735,MEX11211,18/02/2014,28.8
MEX117736,MEX11211,15/04/2016,29.3
MEX117737,MEX11211,14/04/2016,28.7
MEX117738,MEX11211,13/03/2018,19.3
MEX117739,MEX11211,15/04/2016,29.2
MEX117740,MEX11211,15/04/2016,28.9
MEX117741,MEX11211,15/04/2016,29.1
MEX117742,MEX11211,07/07/2015,31.3
MEX117743,MEX11211,15/04/2016,28.8
MEX117744,MEX11211,03/07/2018,28.5
MEX117745,MEX11211,03/07/2018,26.9
MEX117746,MEX11211,31/07/2014,27.7
MEX117747,MEX11211,20/09/2016,30.9
MEX117748,MEX11211,31/07/2014,38.8
MEX117749,MEX11211,31/07/2014,28.8
MEX117750,MEX11211,31/07/2014,30.2
MEX117751,MEX11211,31/07/2014,36.1
MEX117752,MEX11211,31/07/2014,33.5
MEX117753,MEX11211,04/01/2013,18.8
MEX117754,MEX11211,04/01/2013,24.5
MEX117755,MEX11211,26/09/2013,32.8
MEX117756,MEX11211,04/01/2013,20
MEX117757,MEX11211,04/01/2013,23.5
MEX117758,MEX11211,10/04/2013,33.7
MEX117759,MEX11211,10/04/2013,31.2
MEX117760,MEX11211,10/04/2013,29.4
MEX117761,MEX11211,10/04/2013,30.4
MEX117762,MEX11211,10/04/2013,34.2
MEX117763,MEX11212,18/07/2017,34.2
MEX117764,MEX11212,12/04/2018,30.1
MEX117765,MEX11212,14/09/2017,26.2
MEX117766,MEX11212,04/07/2018,31.3
MEX117767,MEX11212,15/10/2018,31.2
MEX117768,MEX11213,05/12/2018,22
MEX117769,MEX11213,08/04/2015,22.7
MEX117770,MEX11213,31/08/2017,37.1
MEX117771,MEX11213,12/02/2019,18
MEX117772,MEX11213,11/08/2015,29.9
MEX117773,MEX11213,12/02/2019,24.2
MEX117774,MEX11214,07/04/2015,25.2
MEX117775,MEX11214,19/02/2018,17
MEX117776,MEX11214,31/08/2017,34.2
MEX117777,MEX11214,23/03/2017,25
MEX117778,MEX11214,12/02/2019,18
MEX117779,MEX11215,06/09/2016,26.9
MEX117780,MEX11215,19/02/2018,16
MEX117781,MEX11215,07/04/2015,25.3
MEX117782,MEX11215,12/02/2019,19
MEX117783,MEX11215,31/08/2017,38.6
MEX117784,MEX11216,19/02/2018,17
MEX117785,MEX11216,05/12/2018,23
MEX117786,MEX11216,12/02/2019,19
MEX117787,MEX11216,31/08/2017,36.4
MEX117788,MEX11216,11/08/2015,29.2
MEX117789,MEX11217,12/02/2019,18
MEX117790,MEX11217,22/03/2017,21
MEX117791,MEX11217,19/02/2018,17
MEX117792,MEX11217,23/03/2017,23
MEX117793,MEX11217,23/03/2017,24
MEX117794,MEX11217,31/07/2018,28
MEX117795,MEX11217,23/03/2017,24
MEX117796,MEX11217,05/12/2018,21
MEX117797,MEX11217,15/03/2016,24.9
MEX117798,MEX11217,06/09/2016,27.7
MEX117799,MEX11217,15/03/2016,25.3
MEX117800,MEX11217,31/07/2018,27
MEX117801,MEX11217,15/03/2016,25.8
MEX117802,MEX11217,06/09/2016,27.3
MEX117803,MEX11217,11/08/2015,32.7
MEX117804,MEX11217,04/09/2014,30.8
MEX117805,MEX11217,11/08/2015,28.6
MEX117806,MEX11217,28/03/2014,24.7
