Unique ID,Unique Lake,sampledate,sample year,deepth sample,Value Flags TURB,TURB (NTU)
CAN104614,CAN10193,15/07/1990,NA,0,NA,0.78
CAN104615,CAN10193,21/05/1990,NA,0,NA,1.7
CAN104617,CAN10194,11/08/1998,NA,0,NA,0.53
CAN104619,CAN10195,28/10/1990,NA,0,NA,0.95
CAN104620,CAN10195,15/07/1990,NA,0,NA,0.67
CAN104621,CAN10195,11/06/1990,NA,0,NA,0.95
CAN104623,CAN10196,30/09/2013,NA,0,NA,0.88
CAN104624,CAN10197,10/08/1999,NA,0,NA,0.27
CAN104625,CAN10198,14/10/1990,NA,0,NA,0.98
CAN104626,CAN10198,18/07/1990,NA,0,NA,0.69
CAN104627,CAN10198,15/05/1990,NA,0,NA,2.7
CAN104628,CAN10199,12/11/2002,NA,0,NA,0.77
CAN104630,CAN10200,02/10/1998,NA,0,NA,0.61
CAN104631,CAN10200,02/10/2013,NA,7,NA,0.58
CAN104632,CAN10200,02/10/2013,NA,0,NA,0.67
CAN104633,CAN10201,07/07/2004,NA,0,NA,0.48
CAN104635,CAN10202,07/07/2004,NA,0,NA,0.41
CAN104636,CAN10203,31/07/2007,NA,0,NA,0.78
CAN104637,CAN10204,15/08/2007,NA,0,NA,0.54
CAN104639,CAN10205,08/09/2005,NA,0,NA,1.05
CAN104640,CAN10206,18/09/2013,NA,0,NA,1.65
CAN104641,CAN10207,21/10/1990,NA,0,NA,0.85
CAN104642,CAN10207,12/05/1990,NA,0,NA,0.77
CAN104643,CAN10207,15/07/1990,NA,0,NA,0.63
CAN104644,CAN10208,15/07/1990,NA,0,NA,0.77
CAN104645,CAN10208,21/05/1990,NA,0,NA,0.59
CAN104646,CAN10208,28/10/1990,NA,0,NA,0.8
CAN104647,CAN10209,14/08/2003,NA,0,NA,1.89
CAN104648,CAN10210,29/07/1990,NA,0,NA,0.42
CAN104649,CAN10210,17/06/1990,NA,0,NA,0.46
CAN104650,CAN10210,21/10/1990,NA,0,NA,0.98
CAN104653,CAN10211,21/07/2004,NA,0,NA,0.63
CAN104654,CAN10212,21/07/2004,NA,0,NA,0.46
CAN104656,CAN10212,13/08/1998,NA,0,NA,0.32
CAN104658,CAN10213,29/08/2017,NA,2,NA,2.55
CAN104659,CAN10213,29/08/2017,NA,0,NA,2.52
CAN104660,CAN10213,28/08/2008,NA,0,NA,1.69
CAN104661,CAN10213,26/08/2015,NA,3,NA,12.3
CAN104662,CAN10213,30/08/2016,NA,2.8,NA,2.89
CAN104664,CAN10213,29/08/2018,NA,0,NA,2.39
CAN104665,CAN10213,30/08/2016,NA,0,NA,3.15
CAN104666,CAN10213,14/08/2008,NA,0,NA,2.02
CAN104667,CAN10213,25/08/2014,NA,0,NA,3.22
CAN104668,CAN10213,25/08/2014,NA,5.5,NA,7.29
CAN104670,CAN10215,20/09/2013,NA,0,NA,1.98
CAN104671,CAN10216,27/09/2006,NA,0,NA,2.09
CAN104672,CAN10217,29/08/2017,NA,5,NA,0.66
CAN104673,CAN10217,29/08/2017,NA,0,NA,0.81
CAN104674,CAN10217,30/08/2016,NA,4.6,NA,0.94
CAN104675,CAN10217,28/08/2008,NA,0,NA,0.53
CAN104677,CAN10217,29/08/2018,NA,0,NA,0.87
CAN104678,CAN10217,26/08/2015,NA,6,NA,4.08
CAN104679,CAN10217,25/08/2014,NA,8,NA,1.56
CAN104680,CAN10217,30/08/2016,NA,0,NA,0.8
CAN104682,CAN10217,25/08/2014,NA,0,NA,0.9
CAN104683,CAN10217,26/08/2015,NA,0,NA,0.98
CAN104684,CAN10217,13/08/2008,NA,0,NA,0.95
CAN104687,CAN10219,25/08/2015,NA,3.5,NA,8.38
CAN104688,CAN10219,29/08/2017,NA,2,NA,13.2
CAN104690,CAN10219,30/08/2018,NA,0,NA,11.2
CAN104691,CAN10219,29/08/2017,NA,0,NA,12.1
CAN104692,CAN10219,28/08/2008,NA,0,NA,22.1
CAN104693,CAN10219,14/08/2008,NA,0,NA,19.6
CAN104694,CAN10219,31/08/2016,NA,1.7,NA,14.2
CAN104695,CAN10219,31/08/2016,NA,0,NA,15.1
CAN104696,CAN10219,25/08/2015,NA,0,NA,23.2
CAN104699,CAN10221,29/10/2002,NA,0,NA,0.9
CAN104700,CAN10222,05/09/2005,NA,0,NA,0.6
CAN104701,CAN10223,22/08/2006,NA,0,NA,1.84
CAN104702,CAN10224,14/08/2003,NA,0,NA,0.51
CAN104703,CAN10225,29/08/2005,NA,0,NA,0.74
CAN104707,CAN10227,13/08/1998,NA,0,NA,0.31
CAN104708,CAN10228,27/08/2008,NA,0,NA,0.95
CAN104709,CAN10228,14/08/2008,NA,0,NA,1.09
CAN104711,CAN10229,06/08/2006,NA,0,NA,1.2
CAN104712,CAN10230,31/08/2000,NA,0,NA,0.2
CAN104715,CAN10232,15/09/2002,NA,0,NA,0.35
